id,content
1,华为P40 Pro 5G手机 现货当天发可选 X40【幻夜黑】 8G+256GB
2,华为畅享 50z 5000万高清AI三摄 5000mAh超能续航 128GB 宝石蓝 大内存
3,华为/HUAWEI 畅享60 6000mAh+22.5W超级快充 4800万大底超清影像 128GB 冰
4,华为畅享 50z 5000万高清AI三摄 5000mAh超能续航 128GB 幻夜黑 大内存
5,HUAWEI nova 10 青春版 一亿像素超清影像 66W华为超级快充 6.78 英寸臻彩直屏
6,华为/HUAWEI 畅享60 6000mAh+22.5W超级快充 4800万大底超清影像 128GB 幻夜黑 鸿蒙智能手机
7,华为/HUAWEI P60 Pro 超聚光夜视长焦 昆仑玻璃 双向北斗卫星消息 256GB 羽砂黑 鸿蒙智能旗舰手机
8,华为/HUAWEI P50 Pro 原色双影像单元 万象双环设计 基于鸿蒙操作系统 8GB+256GB曜金黑华为手机
9,华为手机nova 9 SE 一亿像素超清摄影 支持66W快充 8GB+256GB冰晶蓝
10,华为畅享 60 Pro 5000mAh长续航 40W快充 6.8英寸无界全视屏 双卡双待 128GB 薄荷青 鸿蒙智能手机HUAWEI
11,Redmi K60 至尊版 天玑9200+ 独显芯片X7 1.5K直屏 索尼IMX800 光学防抖 16GB+512GB 晴雪 小米红米K60 Ultra
12,Redmi Note 11 5G 天玑810 33W Pro快充 5000mAh大电池 8GB+ 128GB 神秘黑境 智能手机 小米 红米
13,Redmi Note 12 Turbo 5G 第二代骁龙7+ 超细四窄边OLED直屏 6400万像素 12GB+512GB冰羽白 智能手机 小米红米
14,Redmi K60 骁龙8+处理器 2K高光屏 6400万超清相机 5500mAh长续航 16GB+256GB 墨羽 小米红米5G
15,小米13Ultra 徕卡光学全焦段四摄 第二代骁龙8处理器 2K超色准屏 IP68防水 16+512GB 橄榄绿 小米手机 5G手机
16,小米12S 骁龙8+处理器 徕卡光学镜头 疾速影像 120Hz高刷 67W快充 4500mAh 8B+256GB 蓝色 5G手机
17,Redmi K60 骁龙8+处理器 2K高光屏 6400万超清相机 5500mAh长续航 16GB+1TB 晴雪 小米红米5G
18,小米 Civi 3 前置仿生双主摄 天玑8200-Ultra 后置5000万光学防抖镜头 12GB+256GB 玫瑰紫 小米手机 5G手机
19,Redmi Note 12 Turbo 5G 第二代骁龙7+ 超细四窄边OLED直屏 6400万像素 8GB+256GB冰羽白 智能手机 小米红米
20,Redmi K60 骁龙8+处理器 2K高光屏 6400万超清相机 5500mAh长续航 16GB+256GB 晴蓝 小米红米5G
21,兰蔻七夕蝶吻限定口红礼盒(196+292+200) 化妆品生日礼物送女友老婆
22,兰蔻七夕蝶吻限定口红196 哑光朱砂橘礼盒生日情人节礼物送送女友老婆
23,兰蔻七夕蝶吻限定口红292 哑光半熟粉礼盒生日情人节礼物送送女友老婆
24,迪奥（Dior）烈艳蓝金口红 丝绒999 传奇正红唇膏 七夕情人节礼物送女友
25,迪奥（Dior）烈艳蓝金口红 哑光 999 传奇正红唇膏3.5g 七夕情人节礼物送女友
26,纪梵希（Givenchy）高定香榭粉丝绒N27口红礼盒唇膏豆沙色生日七夕情人节礼物送女友
27,卡姿兰（Carslan）粉悦木马口红礼盒雾感哑光唇膏mini6支套装 七夕情人节礼物
28,阿玛尼红管唇釉#321裸雾粉 丝绒哑光显白口红 七夕情人节礼物送女友
29,阿玛尼口红权力唇膏214#暧昧奶杏 润泽镜面显白 七夕情人节礼物送女友
30,阿玛尼红管405唇釉#番茄红 丝绒哑光显白口红 七夕情人节礼物送女友